global_bit,kind,control_bit,cell,local_bit,x,y,z,bit
316,cell,,2,52,0.02887123539097771,0.011958857261409056,0.8125,0
317,cell,,2,53,0.02887123539097771,0.011958857261409056,0.828125,0
318,cell,,2,54,0.02887123539097771,0.011958857261409056,0.84375,0
319,cell,,2,55,0.02887123539097771,0.011958857261409056,0.859375,0
320,cell,,2,56,0.02887123539097771,0.011958857261409056,0.875,0
321,cell,,2,57,0.02887123539097771,0.011958857261409056,0.890625,0
322,cell,,2,58,0.02887123539097771,0.011958857261409056,0.90625,0
323,cell,,2,59,0.02887123539097771,0.011958857261409056,0.921875,0
324,cell,,2,60,0.02887123539097771,0.011958857261409056,0.9375,0
325,cell,,2,61,0.02887123539097771,0.011958857261409056,0.953125,0
326,cell,,2,62,0.02887123539097771,0.011958857261409056,0.96875,0
327,cell,,2,63,0.02887123539097771,0.011958857261409056,0.984375,0
328,cell,,2,64,0.02887123539097771,0.011958857261409056,1.0,1
329,cell,,2,65,0.02887123539097771,0.011958857261409056,1.015625,0
330,cell,,2,66,0.02887123539097771,0.011958857261409056,1.03125,1
331,cell,,2,67,0.02887123539097771,0.011958857261409056,1.046875,0
332,cell,,2,68,0.02887123539097771,0.011958857261409056,1.0625,1
333,cell,,2,69,0.02887123539097771,0.011958857261409056,1.078125,0
334,cell,,2,70,0.02887123539097771,0.011958857261409056,1.09375,0
335,cell,,2,71,0.02887123539097771,0.011958857261409056,1.109375,0
336,cell,,2,72,0.02887123539097771,0.011958857261409056,1.125,0
337,cell,,2,73,0.02887123539097771,0.011958857261409056,1.140625,1
338,cell,,2,74,0.02887123539097771,0.011958857261409056,1.15625,1
339,cell,,2,75,0.02887123539097771,0.011958857261409056,1.171875,0
340,cell,,2,76,0.02887123539097771,0.011958857261409056,1.1875,0
341,cell,,2,77,0.02887123539097771,0.011958857261409056,1.203125,0
342,cell,,2,78,0.02887123539097771,0.011958857261409056,1.21875,0
343,cell,,2,79,0.02887123539097771,0.011958857261409056,1.234375,1
344,cell,,2,80,0.02887123539097771,0.011958857261409056,1.25,0
345,cell,,2,81,0.02887123539097771,0.011958857261409056,1.265625,0
346,cell,,2,82,0.02887123539097771,0.011958857261409056,1.28125,0
347,cell,,2,83,0.02887123539097771,0.011958857261409056,1.296875,0
348,cell,,2,84,0.02887123539097771,0.011958857261409056,1.3125,1
349,cell,,2,85,0.02887123539097771,0.011958857261409056,1.328125,1
350,cell,,2,86,0.02887123539097771,0.011958857261409056,1.34375,1
351,cell,,2,87,0.02887123539097771,0.011958857261409056,1.359375,0
352,cell,,2,88,0.02887123539097771,0.011958857261409056,1.375,1
353,cell,,2,89,0.02887123539097771,0.011958857261409056,1.390625,0
354,cell,,2,90,0.02887123539097771,0.011958857261409056,1.40625,1
355,cell,,2,91,0.02887123539097771,0.011958857261409056,1.421875,1
356,cell,,2,92,0.02887123539097771,0.011958857261409056,1.4375,0
357,cell,,2,93,0.02887123539097771,0.011958857261409056,1.453125,0
358,cell,,2,94,0.02887123539097771,0.011958857261409056,1.46875,0
359,cell,,2,95,0.02887123539097771,0.011958857261409056,1.484375,0
360,cell,,2,96,0.02887123539097771,0.011958857261409056,1.5,1
361,cell,,2,97,0.02887123539097771,0.011958857261409056,1.515625,0
362,cell,,2,98,0.02887123539097771,0.011958857261409056,1.53125,1
363,cell,,2,99,0.02887123539097771,0.011958857261409056,1.546875,0
